Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-272.4268	-362.908	90.48116	1.367622	4.137007	0.5847386
6	-277.1452	-368.488	91.34279	1.037258	2.752691	0.5847386
12	-272.3302	-363.7625	91.43223	0.8918175	2.752691	0.7092924
18	-266.5587	-357.2336	90.67487	0.8908982	4.672351	0.7989323
24	-276.0003	-366.4354	90.43513	1.134421	4.810267	0.7354191
30	-272.6755	-364.7309	92.05531	1.105648	1.156131	0.9142941
36	-273.3303	-363.6602	90.32987	1.105648	4.858025	0.8921375
42	-274.3463	-364.9721	90.62575	1.02516	3.999176	0.9483228
48	-278.5612	-370.2157	91.65446	0.8579752	1.791645	1.08534
54	-278.6928	-370.591	91.8982	1.600571	1.033539	0.4704444
60	-278.158	-370.0501	91.89211	1.612978	1.014336	0.4199637
66	-276.9004	-368.0342	91.13385	1.608035	2.028709	0.4025748
72	-274.0304	-364.8468	90.81641	1.725108	2.378498	0.3841414
78	-272.5609	-362.2143	89.65348	1.716505	5.565254	0.3267877
84	-270.9469	-362.0074	91.06048	1.655068	2.020543	0.3544237
90	-271.376	-361.7287	90.35275	1.34133	4.642231	0.4331027
96	-265.7111	-356.2089	90.4978	1.338441	4.147206	0.6126726
102	-267.0146	-356.6352	89.62059	2.042413	4.037782	0.2321526
108	-268.8833	-358.7947	89.91133	1.162471	6.734638	0.3100738
114	-262.2067	-353.1633	90.95656	1.422502	2.782135	0.4834672
120	-266.1705	-357.1749	91.00439	0.9452086	2.989602	1.031714
126	-269.0003	-359.1567	90.15647	0.9858886	4.204549	1.342539
132	-270.5915	-361.5521	90.96056	0.9398714	2.293695	1.358108
138	-263.1786	-354.7248	91.54618	0.9851756	2.293695	0.7370475
144	-271.9729	-362.3488	90.37593	1.270831	4.826797	0.4621829
150	-271.6192	-360.8885	89.26934	1.536556	8.556995	0.4516523
156	-266.4781	-357.2048	90.72673	1.419692	3.282145	0.6129589
162	-270.5405	-360.5487	90.00821	1.450532	5.293125	0.6963427
168	-275.1255	-365.9464	90.82088	0.7794136	3.090631	1.301141
174	-274.9127	-366.7652	91.85243	1.12506	1.615089	0.6715179
180	-277.3241	-368.4008	91.07673	1.086175	3.117002	0.7150887
186	-282.8809	-373.9983	91.11739	1.086175	3.077614	0.6713766
192	-281.1671	-372.2644	91.09723	0.9396758	3.077614	0.9027828
198	-274.0278	-365.173	91.14529	1.1304	2.534251	0.9087496
204	-278.8285	-368.8824	90.05392	2.307174	1.824	0.1452949
210	-274.9839	-365.7786	90.7947	2.219296	1.402439	0.2636936
216	-271.7971	-362.8829	91.08582	1.847773	1.58794	0.2999042
222	-271.9262	-363.0251	91.09891	1.847773	1.590844	0.3118195
228	-270.3163	-361.2984	90.98213	1.750114	2.082599	0.5172009
234	-270.5998	-363.1206	92.52088	1.338445	0.6914475	0.623698
240	-264.2072	-355.9491	91.7419	1.470047	1.360429	0.5333005
246	-273.8889	-364.9796	91.09071	1.365348	2.612399	0.5333005
252	-275.1107	-366.9567	91.84602	1.10995	1.608335	0.7183002
258	-276.5801	-368.2753	91.6952	1.10995	1.176131	1.232698
264	-266.1132	-356.8278	90.71465	1.10995	3.471199	0.9634768
270	-261.0812	-352.1284	91.04713	0.7342932	2.287783	1.4529
276	-258.3455	-349.5789	91.23337	0.583523	2.060991	1.520085
282	-260.4091	-351.4202	91.01105	0.3389386	3.014121	1.520085
288	-260.3657	-351.3348	90.96913	0.8143256	3.014121	1.174306
294	-266.7968	-357.9485	91.15174	0.8124836	2.69198	1.140721
300	-267.3274	-358.2992	90.97178	0.8668825	2.925684	1.159151
306	-277.5439	-368.6648	91.12087	0.6923323	3.014175	1.148169
312	-273.1414	-364.8329	91.69157	1.224331	1.611105	0.7760141
318	-267.6555	-359.6157	91.96018	1.024163	1.611105	0.6633718
324	-264.925	-356.2892	91.36424	0.9407749	1.418958	1.471425
330	-267.6591	-360.4384	92.77932	0.9407749	0.795412	0.6463524
336	-259.5355	-351.7143	92.17887	0.9612169	1.185626	0.9084101
342	-263.437	-354.3328	90.89577	1.110384	3.394493	0.7846857
348	-266.5833	-358.5423	91.95906	1.073247	1.281645	0.9366128
354	-272.2088	-364.0402	91.83136	0.9551084	1.37062	1.107325
360	-267.5455	-358.8717	91.32617	0.9348809	1.733662	1.332327
366	-258.9694	-350.8148	91.84536	0.7743175	1.528149	1.15036
372	-262.6831	-354.7301	92.04697	0.9576027	1.282595	0.9650358
378	-264.61	-354.9367	90.32671	0.8982469	6.408657	0.6060562
384	-257.2882	-349.0977	91.80956	1.197931	1.612718	0.6060562
390	-257.7892	-349.7076	91.91834	1.044646	1.543291	0.7771457
396	-260.7729	-351.8046	91.03164	1.186137	3.156792	0.5248541
402	-261.6431	-353.3418	91.6987	1.234368	1.696356	0.6491665
408	-266.5193	-357.2549	90.73557	1.219211	3.851429	0.4610366
414	-258.4798	-349.0052	90.52542	0.922371	5.399697	0.6635586
420	-258.8558	-350.4878	91.63201	0.8196542	2.145743	0.9367609
426	-260.5193	-351.3941	90.87481	1.077686	3.725363	0.674912
432	-274.2174	-365.3011	91.08364	0.9547081	3.396957	0.736269
438	-268.5291	-359.5048	90.97568	1.061376	3.396957	0.7382902
444	-279.4059	-370.8767	91.47077	1.447409	1.319127	1.021887
450	-272.9493	-363.7646	90.81529	2.174311	1.351248	0.2320504
456	-267.6513	-357.689	90.03763	1.772675	3.895802	0.284854
462	-265.6695	-356.4538	90.78433	1.309664	3.469813	0.5334795
468	-267.0005	-358.113	91.11254	1.073841	3.232163	0.5334795
474	-263.4442	-353.9353	90.4911	1.123183	4.627992	0.7490254
480	-261.0741	-351.3168	90.24272	0.8946309	6.467048	0.7492909
486	-258.416	-350.0381	91.62209	1.071489	1.987876	0.7492909
492	-263.4186	-354.8165	91.39792	1.011725	1.983314	1.071399
498	-264.0837	-355.0826	90.99891	1.127456	3.224063	0.7032675
504	-265.7806	-357.1026	91.32198	0.8154392	3.279585	0.6379325
510	-269.4116	-361.5707	92.15913	1.245903	1.048929	0.7285122
516	-271.6233	-363.5	91.87668	1.3695	1.07349	0.9042328
522	-268.214	-359.3815	91.1675	1.023782	2.913036	0.8004592
528	-270.5273	-361.6101	91.08282	1.023782	3.323803	0.6667073
534	-274.4972	-366.1732	91.67602	1.023782	1.678274	0.9754718
540	-274.8995	-366.4414	91.54185	1.469251	1.626427	0.4445181
546	-278.4032	-370.0695	91.66631	1.028313	2.069624	0.6665418
552	-275.1646	-366.0232	90.8586	1.103828	3.467689	0.8059867
558	-270.629	-361.9693	91.34022	1.454233	1.903599	0.6627526
564	-266.736	-358.3936	91.65759	1.180558	1.903599	0.5026179
570	-272.2508	-363.357	91.10628	1.363715	2.208048	0.878251
576	-273.0706	-363.4845	90.41388	1.589451	3.540733	0.704694
582	-272.5344	-362.7879	90.25348	1.11695	5.413836	0.7833775
588	-277.4233	-368.6097	91.18641	1.284971	2.347895	0.7833775
594	-270.411	-361.3679	90.95691	1.308242	2.901635	0.6963102
600	-267.2794	-358.2235	90.94413	1.482431	2.669399	0.5505954
606	-267.4488	-357.4233	89.97452	1.538924	5.167636	0.3706259
612	-270.6357	-362.2052	91.56953	1.316649	1.820748	0.5423636
618	-264.9466	-355.8572	90.91056	1.228625	3.174569	0.7153818
624	-264.3144	-355.4247	91.11029	1.1289	2.579123	0.9250516
630	-271.9006	-362.7667	90.86614	1.672148	2.392938	0.3912812
636	-267.9148	-359.7918	91.87697	0.9375697	1.566831	0.9359135
642	-272.8698	-364.1981	91.32831	0.6253638	2.22409	1.345288
648	-266.4526	-357.6515	91.19886	0.8777272	2.173757	1.267917
654	-269.3895	-360.8526	91.46307	0.7040554	2.402467	1.083871
660	-271.1833	-361.7022	90.51889	1.464131	3.653467	0.6657085
666	-266.2024	-357.1129	90.91059	1.149215	3.446483	0.6657085
672	-266.5095	-357.0213	90.51176	1.488554	3.730475	0.4900517
678	-261.1136	-352.0294	90.91582	1.557752	2.386046	0.3116937
684	-257.4468	-347.1186	89.67181	1.456072	6.460446	0.304428
690	-251.5255	-342.743	91.2175	1.38215	2.299542	0.4191466
696	-255.1493	-346.1434	90.99413	1.618892	2.299542	0.5259797
702	-259.8789	-350.3923	90.51345	1.400119	3.93673	0.5918679
708	-261.4572	-352.6273	91.17016	0.973602	2.250574	1.175807
714	-260.9073	-352.2846	91.37735	1.002855	1.841209	1.175807
720	-263.8356	-354.7817	90.94615	1.107142	3.174079	0.8368322
726	-271.7681	-361.7167	89.9486	0.7346731	3.174079	1.943033
732	-268.6265	-359.249	90.62244	0.7767097	4.704784	0.9791524
738	-268.8214	-359.2723	90.45086	0.8002988	2.338298	1.816502
744	-272.0355	-362.6441	90.60861	0.6425457	2.338298	1.816502
750	-271.7546	-363.7068	91.95225	0.9260125	1.477508	0.9371266
756	-268.3841	-359.0316	90.64754	1.157943	3.814051	0.8453089
762	-269.3272	-360.9839	91.65669	1.17776	1.875496	0.6094735
768	-271.1594	-363.0077	91.84834	1.292992	1.397175	0.6632381
774	-274.543	-365.3804	90.8374	0.7285887	2.87158	1.402636
780	-270.7914	-362.2812	91.48989	1.133092	2.20414	0.6598868
786	-269.4685	-360.6638	91.19529	0.8972832	3.053968	0.8494203
792	-264.1008	-355.6635	91.56268	0.4315894	1.19941	1.823765
798	-266.7781	-357.6908	90.91273	0.6823062	1.951253	1.72692
804	-270.0069	-360.9831	90.97624	0.926716	2.868133	1.124322
810	-275.961	-367.2502	91.28921	0.7290925	2.406047	1.214112
816	-273.877	-365.0257	91.14874	0.8690905	2.406047	1.214519
822	-274.787	-365.5069	90.71994	1.085475	3.308178	1.045138
828	-269.2902	-360.1188	90.82857	0.8793371	3.308178	1.135243
834	-270.8582	-362.0423	91.18412	0.6629409	2.922149	1.1531
840	-263.0774	-354.5089	91.43151	0.4227693	1.59226	1.707788
846	-275.3755	-365.976	90.60046	0.6244666	0.9959208	2.451321
852	-271.6469	-362.3278	90.68087	0.4908609	1.596552	2.166523
858	-271.8322	-362.2654	90.43325	0.9873378	4.392154	1.051444
864	-269.9483	-360.4163	90.46801	1.111853	3.591853	1.15328
870	-267.8652	-360.0963	92.23105	0.3958627	0.9386307	1.550763
876	-273.8813	-365.9855	92.10419	0.5237451	0.9386307	1.550012
882	-274.8236	-365.8231	90.99943	0.9633832	3.252432	0.9060558
888	-275.8146	-366.263	90.44842	1.026328	5.002147	0.7934828
894	-266.1991	-357.8455	91.64647	0.9494446	2.184393	0.7277544
900	-267.9772	-359.2916	91.31438	0.9069738	2.184393	1.13901
906	-269.8844	-361.538	91.65359	0.8139381	1.705656	1.175879
912	-268.2955	-359.4681	91.17266	0.9648308	3.294907	0.6231605
918	-271.019	-362.0181	90.99913	1.120275	3.399115	0.5440641
924	-267.2288	-358.773	91.54422	0.918511	1.79209	1.13038
930	-271.3068	-362.4589	91.15209	0.5258004	1.79209	1.737849
936	-270.6033	-361.4469	90.84367	0.4408266	1.142579	2.325367
942	-268.778	-360.0194	91.24138	1.443669	2.16722	0.485262
948	-270.2126	-361.8878	91.67526	0.9131337	2.317752	0.596085
954	-273.1325	-363.4761	90.34363	1.16143	5.062011	0.7244928
960	-266.7918	-357.9552	91.16346	1.200454	2.799221	0.5660133
966	-273.2834	-363.9601	90.67673	1.374762	3.589614	0.4994755
972	-265.9011	-357.0076	91.10653	1.385399	2.541536	0.488734
978	-266.5058	-356.8767	90.3709	1.385399	4.288293	0.6875508
984	-263.8986	-355.0663	91.16762	1.252139	2.588563	0.6747696
990	-263.7662	-354.6606	90.89439	1.150405	3.353348	0.7521292
996	-269.1462	-360.5254	91.37922	1.060433	1.968853	1.051125
1002	-270.2177	-361.7444	91.52666	0.8475317	1.315786	1.480652
1008	-273.3337	-364.5774	91.24379	0.6496683	2.019469	1.480652
1014	-265.8985	-357.1657	91.26722	0.8073972	2.019469	1.340262
1020	-270.3542	-361.3798	91.02563	0.746111	2.59544	1.340262
1026	-265.7318	-356.8592	91.12731	1.082596	2.59544	0.9480933
1032	-266.6319	-357.2339	90.60197	0.9246028	3.082194	1.362957
1038	-268.6665	-360.2575	91.59101	0.8823429	1.517415	1.281331
1044	-267.408	-358.6267	91.21874	0.6656114	2.513267	1.281331
1050	-268.4923	-358.7107	90.21838	0.5339694	2.513267	2.09258
1056	-270.9506	-361.851	90.90044	1.023661	2.513267	1.24846
1062	-270.6956	-361.8026	91.10698	0.7552573	2.642195	1.24846
1068	-271.4888	-363.5535	92.06462	0.8449634	1.020974	1.266271
1074	-265.4743	-356.6088	91.13453	1.012132	1.841785	1.368146
1080	-266.5685	-357.8073	91.23876	0.7416298	2.794098	1.083675
