Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-270.245	-361.4144	91.16937	0.000118299	0.0106706	0.0020825	0.000710112	0.0309336	0.00185016	0.00922347	0.0181507	0.0372985	0.00922342	0.00331719	0.0177938	0.00523819	0.0109174	0.00276529	0.0206989	0.0254898	0.00438276	0.00211569	0.0108376	0.00019648	0.0107634	0.00351942	0.0240599	0.00176335	0.00765017	0.00129312	0.00454632	0.00500557	0.00509813	0.0136837	0.0208653	0.0152231	0.00441789	0.0199504	0.0012618	0.000174538	0.00135714	0.00837568	0.0109491	0.0112467	0.0043756	0.0320865	0.0168047	0.0112848	0.0552862	0.0278905	0.0190793	0.00866116	0.00970218	0.0152835	0.0216805	0.00515381	0.00241234	0.0112173	0.00433672	0.00240801	0.0168146	0.0371537	0.00467163	0.00310164	0.5736669	1.426333	0.169439	0.420714	0.763292	1.31011	2.37691	5.90184	1.283639	2.486344	0.000167889	0.0151437	0.00295548	0.00100779	0.0439009	0.00262574	0.0130899	0.0257595	0.0529339	0.0130898	0.00470774	0.0252529	0.00743402	0.015494	0.00392449	0.0293759	0.036175	0.00622	0.00300259	0.0153807	0.000278843	0.0152754	0.00499475	0.0341458	0.00250254	0.0108571	0.00183519	0.00645211	0.00710389	0.00723525	0.0194198	0.0296119	0.0216045	0.00626985	0.0283135	0.00179075	0.000247704	0.00192605	0.0118867	0.0155389	0.0159612	0.00620984	0.0455371	0.0238492	0.0160154	0.078462	0.0395821	0.0270772	0.0122919	0.0137693	0.0216903	0.0307689	0.00731427	0.00342359	0.0159196	0.00615466	0.00341744	0.0238633	0.0527284	0.00662997	0.00440184	0.713167	0.286833	0.704624
36	-269.5128	-360.6606	91.14787	0.00747107	0.00923344	0.00285937	0.000308951	0.0280171	0.00505198	0.0114647	0.0185201	0.0198568	0.00517123	0.00508925	0.011907	0.0183446	0.00643528	0.00264672	0.00418448	0.0127464	0.00176856	0.0119408	0.0137553	0.00345326	0.000989078	0.0109867	0.00820841	0.00117103	0.0024919	0.0018338	0.000269315	0.00634095	0.00881526	0.0019593	0.015885	0.0046463	0.00505262	0.0180694	0.0014868	0.000447414	0.00128342	0.00262275	0.0126587	0.00500912	0.00292896	0.0290613	0.0112674	0.00734091	0.0292254	0.0185313	0.0209096	0.00989299	0.00190928	0.00564946	0.0108487	0.0059902	0.00115282	0.0316714	0.0171135	0.00791314	0.00427792	0.0030499	0.00730296	0.01454	0.5192172	1.480783	0.191358	0.446432	0.777553	1.28609	2.23998	5.2258	1.195673	2.851952	0.0135583	0.0167567	0.00518914	0.000560678	0.0508449	0.00916823	0.0208059	0.03361	0.0360358	0.00938464	0.00923586	0.0216086	0.0332914	0.0116786	0.00480322	0.0075939	0.023132	0.00320954	0.02167	0.0249628	0.00626691	0.00179496	0.0199385	0.0148965	0.00212517	0.00452225	0.00332795	0.000488747	0.0115074	0.0159978	0.0035557	0.0288278	0.00843201	0.0091694	0.032792	0.00269821	0.000811957	0.00232912	0.00475972	0.0229728	0.00909045	0.00531541	0.0527399	0.0204478	0.0133221	0.0530377	0.0336303	0.0379463	0.0179536	0.00346492	0.0102525	0.019688	0.0108709	0.00209211	0.0574766	0.0310571	0.0143606	0.00776348	0.00553489	0.0132533	0.026387	0.740391	0.259609	0.551031
72	-271.1993	-362.2892	91.08987	0.0199596	0.00673638	0.0113464	0.00528804	0.0202239	0.0028021	0.000687419	0.019043	0.0181118	0.00841541	0.014202	0.00679431	0.0111123	0.0104725	0.00638795	0.012333	0.0189775	0.00598687	0.000651036	0.0183962	0.00561967	0.0033851	0.0169853	0.0054902	0.0160079	0.0026084	0.00347324	0.0135872	0.0089553	0.0203494	0.0246975	0.0246271	0.00296538	0.00559072	0.0362841	0.00038371	0.00257226	0.000668934	0.002567	0.0188133	0.0266499	0.00895406	0.0409954	0.0203027	0.00625691	0.0475601	0.0220444	0.0273754	0.0206615	0.00531071	0.0496227	0.067279	0.0290785	0.00568334	0.0622344	0.0308105	0.0178338	0.0245909	0.0124168	0.0344343	0.00666393	0.5391321	1.460868	0.245459	0.504071	0.807575	1.23828	1.98385	4.074	1.01564	2.709666	0.0199532	0.00673424	0.0113428	0.00528635	0.0202175	0.00280121	0.0006872	0.0190369	0.0181061	0.00841273	0.0141975	0.00679214	0.0111087	0.0104691	0.00638592	0.0123291	0.0189715	0.00598496	0.000650829	0.0183903	0.00561788	0.00338402	0.0169798	0.00548845	0.0160028	0.00260757	0.00347214	0.0135829	0.00895244	0.0203429	0.0246897	0.0246192	0.00296443	0.00558894	0.0362725	0.000383588	0.00257144	0.000668721	0.00256619	0.0188073	0.0266414	0.00895121	0.0409823	0.0202963	0.00625492	0.047545	0.0220373	0.0273667	0.0206549	0.00530902	0.0496069	0.0672576	0.0290693	0.00568153	0.0622145	0.0308007	0.0178281	0.0245831	0.0124129	0.0344233	0.0066618	0.730434	0.269566	1.000319
108	-268.1806	-358.5715	90.39089	0.0236181	0.00265111	0.0126015	0.00970387	0.00526745	0.000873222	0.00189506	0.00848095	0.0315546	0.00854291	0.00234791	0.00402911	0.00853185	0.021825	0.0019295	0.0111703	0.0250333	0.00288622	0.00208654	0.00295185	0.00140892	0.00411812	0.00381523	0.0145229	0.0165156	0.0117873	0.00129378	0.00391832	0.00278905	0.00936434	0.017865	0.0579343	0.00686508	0.000580836	0.0247788	0.000259394	0.00197209	0.0038872	0.00367794	0.00761484	0.0034382	0.00314169	0.0097145	0.017371	0.0110538	0.0617197	0.0216134	0.000948726	0.00838202	0.0109817	0.016268	0.0407121	0.00958715	0.0125963	0.0590065	0.0117547	0.00160682	0.0107949	0.0249392	0.0111295	0.00123831	0.370997	1.629003	0.163938	0.413997	0.759469	1.31671	2.41548	6.09987	1.307502	4.39088	0.0323116	0.00362694	0.01724	0.0132757	0.00720633	0.00119464	0.00259261	0.0116027	0.0431694	0.0116874	0.00321214	0.00551217	0.0116723	0.0298585	0.00263972	0.015282	0.0342478	0.00394859	0.00285456	0.00403839	0.00192753	0.00563395	0.00521957	0.0198686	0.0225948	0.016126	0.00177001	0.00536061	0.00381566	0.0128112	0.0244409	0.0792592	0.00939203	0.000794635	0.0338996	0.000354873	0.00269798	0.00531802	0.00503175	0.0104178	0.00470376	0.00429811	0.0132903	0.023765	0.0151225	0.0844379	0.029569	0.00129794	0.0114673	0.0150239	0.0222561	0.0556977	0.0131161	0.0172328	0.0807261	0.0160815	0.00219827	0.0147684	0.034119	0.0152262	0.00169411	0.814502	0.185498	0.7309477
144	-275.6656	-365.3619	89.69629	0.0081999	0.00158597	0.002403	0.00472798	0.000556169	0.000624765	0.00119844	0.00450852	0.0102292	0.00641063	0.00293295	0.00028448	0.00577764	0.00187162	0.00132871	0.00862739	0.00347554	9.84058e-05	0.00107275	0.00226969	0.00127347	0.000353368	0.00135031	0.0060196	0.0153044	0.0031662	0.00204182	0.00892151	0.00143396	0.000945689	0.00417609	0.0205045	0.00397817	0.00154404	0.0169152	0.00332413	0.000138601	0.000783251	0.00358992	0.00419536	0.00453659	0.00123319	0.00260805	0.00979809	0.00301053	0.0100399	0.00254464	0.00144919	0.00532956	0.00450564	0.00364777	0.00609127	0.00373173	0.00249235	0.020884	0.00191979	0.00021777	0.00427576	0.00897724	0.00156066	0.00255247	0.3405657	1.659434	0.0848919	0.300335	0.687104	1.45538	3.32962	11.7797	1.78336	4.872583	0.0304208	0.00588378	0.00891486	0.0175403	0.00206333	0.00231781	0.00444609	0.0167261	0.0379494	0.0237828	0.0108809	0.00105539	0.0214344	0.00694352	0.00492936	0.0320067	0.0128939	0.000365075	0.00397981	0.00842032	0.00472443	0.00131096	0.00500951	0.0223321	0.0567777	0.0117463	0.00757492	0.0330979	0.00531984	0.00350841	0.0154928	0.0760694	0.0147586	0.00572822	0.0627535	0.0123322	0.000514197	0.00290578	0.0133182	0.0155644	0.0168303	0.004575	0.0096756	0.0363499	0.0111687	0.0372471	0.00944035	0.00537633	0.0197721	0.0167155	0.0135328	0.022598	0.0138443	0.00924634	0.0774773	0.00712223	0.000807902	0.0158626	0.0333046	0.00578989	0.0094694	0.829717	0.170283	0.2695496
180	-271.124	-362.4747	91.35077	0.0146169	0.0102525	0.0281095	0.0465224	0.0124498	0.00803142	0.0124637	0.00794768	0.0487957	0.00217144	0.015096	0.00010491	0.0499087	0.0241455	0.00914584	0.0444054	0.0137819	0.000578595	0.00847115	0.00424824	0.0161109	0.00993223	0.00350893	0.0192353	0.0285114	0.0179509	0.00966969	0.0289926	0.00797008	0.00077143	0.00180326	0.0812627	0.0275733	0.0161124	0.000813044	0.0161301	0.00406839	0.000794299	0.0298488	0.00846179	0.130897	0.0074402	0.029401	0.0723405	0.0448976	0.0665577	0.0130343	0.00667463	0.0212453	0.0369582	0.013472	0.0354933	0.0192073	0.0209947	0.0596557	0.0441897	0.00871205	0.0428969	0.0298724	0.0862616	0.033735	0.6927416	1.307258	0.450566	0.677856	0.885764	1.12897	1.47524	2.21943	0.5764668	1.887079	0.00965001	0.00676865	0.0185578	0.0307138	0.00821927	0.0053023	0.00822844	0.00524701	0.0322147	0.00143357	0.00996627	6.92609e-05	0.0329494	0.0159407	0.00603803	0.0293162	0.00909874	0.000381985	0.0055926	0.00280466	0.0106363	0.0065572	0.00231657	0.012699	0.0188231	0.0118511	0.00638387	0.0191408	0.0052618	0.000509294	0.0011905	0.0536492	0.0182038	0.0106373	0.000536767	0.010649	0.00268592	0.000524392	0.019706	0.00558642	0.0864173	0.00491198	0.0194103	0.0477588	0.0296412	0.043941	0.00860519	0.00440655	0.014026	0.0243996	0.00889411	0.0234325	0.0126806	0.0138606	0.0393843	0.0291738	0.00575165	0.0283203	0.0197216	0.0569494	0.0222717	0.653629	0.346371	1.514706
216	-266.0355	-356.9774	90.94192	0.00232487	0.00195555	0.0147871	0.00163565	0.00311689	0.00435826	0.00996928	0.00250209	0.0121983	0.0187521	0.00636373	0.000139522	0.0338413	0.011799	0.00578304	0.0138213	0.00201693	0.000108257	0.00958967	0.000152776	0.00401234	0.00576569	0.0034533	0.00627303	0.0189459	0.00539073	0.0089446	0.00430189	0.00140529	0.00116362	0.00380081	0.0206411	0.0113567	0.00906184	0.000304607	0.00541993	0.00130184	0.000254521	0.00691975	0.0140894	0.00585035	0.00236628	0.028793	0.0106728	0.0145466	0.0685305	0.0104029	0.00153404	0.00627993	0.0107796	0.00801146	0.0252324	0.00791097	0.018054	0.0444302	0.00335093	0.000860184	0.00815281	0.0139573	0.00500835	0.0125231	0.4359902	1.56401	0.220157	0.478023	0.794317	1.25894	2.09195	4.54222	1.094303	3.587259	0.00390557	0.00328515	0.024841	0.00274775	0.0052361	0.00732148	0.0167475	0.00420328	0.0204921	0.0315018	0.0106905	0.000234384	0.0568503	0.0198212	0.00971498	0.0232185	0.00338826	0.000181862	0.0161098	0.00025665	0.00674036	0.00968585	0.00580123	0.0105381	0.0318273	0.00905594	0.0150261	0.00722679	0.00236076	0.00195477	0.00638502	0.0346752	0.0190782	0.0152231	0.000511712	0.009105	0.00218698	0.000427572	0.0116246	0.023669	0.00982806	0.00397514	0.0483697	0.0179294	0.024437	0.115125	0.0174759	0.00257704	0.0105497	0.0181087	0.0134585	0.0423881	0.0132897	0.0303291	0.0746388	0.00562926	0.00144503	0.013696	0.0234471	0.00841358	0.0210377	0.782005	0.217995	0.5952702
252	-258.7758	-350.2871	91.51121	0.00107925	0.00119459	0.00918145	0.00772327	0.015818	0.0200703	0.0315654	0.00570388	0.0214975	0.0302974	0.00940101	0.000371975	0.00836737	0.00939859	0.00225165	0.0428678	0.0135106	0.00192327	0.0245455	0.000814401	0.00684444	0.00693314	0.00240753	0.0213106	0.00755859	0.00414821	0.00399986	0.0113421	0.00193109	0.00283993	0.00975724	0.00771479	0.00655671	0.00580086	0.00826161	0.00794728	0.0106577	0.0047855	0.0131167	0.00787591	0.0200148	0.00245409	0.0349974	0.0247977	0.0148429	0.0657922	0.0161963	0.00407882	0.00399464	0.0131024	0.0121366	0.0345536	0.0049104	0.0542754	0.0275226	0.0377899	0.003162	0.0182029	0.0153126	0.0168518	0.00927908	0.6595595	1.340441	0.222611	0.480614	0.795658	1.25682	2.08067	4.49214	1.086288	2.032327	0.00127928	0.001416	0.0108831	0.00915469	0.0187497	0.02379	0.0374156	0.00676103	0.0254818	0.0359126	0.0111434	0.000440916	0.00991817	0.0111405	0.00266896	0.0508129	0.0160146	0.00227973	0.0290947	0.000965341	0.00811297	0.00821811	0.00285374	0.0252603	0.00895948	0.00491704	0.00474118	0.0134442	0.00228899	0.00336627	0.0115656	0.00914464	0.00777191	0.00687598	0.0097928	0.00942021	0.012633	0.00567244	0.0155478	0.00933561	0.0237243	0.00290892	0.0414838	0.0293936	0.0175938	0.077986	0.0191981	0.00483479	0.004735	0.0155308	0.014386	0.0409577	0.00582049	0.0643348	0.0326236	0.0447939	0.00374804	0.0215766	0.0181506	0.0199751	0.0109988	0.67022	0.32978	0.843641
288	-261.2559	-351.7032	90.44727	0.013885	0.0260452	0.0162073	0.0237373	0.0739722	0.0314673	0.0605024	0.00902552	0.0364017	0.0416119	0.0170448	0.000800208	0.0407615	0.0157962	0.00785514	0.00951011	0.0231653	0.0221972	0.0210565	0.0012254	0.0221942	0.0185088	0.00488714	0.0118059	0.0143922	0.00286114	0.0106041	0.0144025	0.00350122	0.000308297	0.019921	0.0139494	0.00796321	0.0110052	0.0122273	0.0049141	0.00491376	0.00753537	0.0191608	0.0154758	0.00466849	0.038892	0.0113115	0.0237403	0.0122814	0.119287	0.0208313	0.0152198	0.0196605	0.0231581	0.0330057	0.0631549	0.0285799	0.0936826	0.104357	0.0495982	0.00478335	0.0675415	0.0481826	0.0381525	0.00830395	0.5121817	1.487818	0.279695	0.537213	0.823779	1.21392	1.86146	3.57533	0.9212306	2.904864	0.00900925	0.0168994	0.0105161	0.0154019	0.0479968	0.0204175	0.0392569	0.0058562	0.0236192	0.0269998	0.0110595	0.000519214	0.0264481	0.0102493	0.00509679	0.00617062	0.0150308	0.0144026	0.0136625	0.0007951	0.0144007	0.0120094	0.00317102	0.00766021	0.00933839	0.00185645	0.00688049	0.00934501	0.00227176	0.000200038	0.0129257	0.00905105	0.00516692	0.00714068	0.00793367	0.00318851	0.00318829	0.00488931	0.0124325	0.0100414	0.00302914	0.025235	0.00733945	0.0154039	0.0079688	0.077399	0.0135164	0.00987532	0.0127567	0.0150261	0.0214157	0.040978	0.018544	0.0607858	0.0677117	0.0321817	0.00310367	0.0438242	0.0312632	0.0247552	0.00538801	0.743909	0.256091	1.541192
324	-269.746	-360.619	90.87303	0.00477449	0.00812155	0.0700813	0.0497316	0.0430387	0.0249608	0.0681638	0.0196107	0.0233877	0.0188134	0.014853	0.000483275	0.0307256	0.0143716	0.0205008	0.0163248	0.0264587	0.000177564	0.0122746	0.000722158	0.0253495	0.0165392	0.00242738	0.0182572	0.00376182	0.00118913	0.026253	0.00479554	0.00530123	0.0147307	0.0191182	0.0236304	0.0112854	0.00162446	0.0277789	0.010055	0.0102524	0.00860665	0.00661824	0.00424413	0.0053322	0.0140688	0.0175193	0.0421831	0.00191622	0.194454	0.0239326	0.00303881	0.0141795	0.0285402	0.0123449	0.0563137	0.0112872	0.00965197	0.0548403	0.0137124	0.00546339	0.0269535	0.0156959	0.0182124	0.0094845	0.5415511	1.458449	0.281369	0.538779	0.824527	1.21282	1.85605	3.55405	0.9169146	2.693096	0.0037054	0.006303	0.054389	0.0385959	0.0334016	0.0193717	0.0529009	0.0152196	0.0181508	0.0146008	0.0115272	0.000375062	0.0238457	0.0111536	0.0159103	0.0126695	0.0205342	0.000137804	0.00952614	0.000560455	0.0196734	0.0128358	0.00188385	0.0141691	0.00291949	0.000922864	0.0203745	0.00372174	0.0041142	0.0114322	0.0148373	0.0183392	0.0087584	0.00126072	0.0215588	0.00780354	0.0079567	0.00667948	0.00513631	0.0032938	0.00413823	0.0109186	0.0135965	0.0327376	0.00148715	0.150913	0.0185737	0.00235838	0.0110045	0.0221496	0.0095807	0.0437042	0.00875985	0.00749074	0.0425607	0.0106419	0.00424005	0.0209182	0.0121813	0.0141344	0.00736077	0.729224	0.270776	1.28852
